,group_name,city_id,dt,is_blank,group_usr_num,gmv,subsidy_hufan,subsidy_coupon,subsidy_c,bubble_cnt,compete_call_cnt,objective_call_cnt,fk_gmv,fk_subsidy_c,fk_subsidy_hufan
6,rgroup_joint_exp_pack,154,2023-04-06,0,62263,1175549.250000,14356.520000,60160.150000,65991.189700,279442.000000,70538.000000,66752.000000,18.88038241009909577116425485,1.059878092928384433772866711,0.2305786743330710052519152627
7,rgroup_joint_exp_pack,254,2023-04-10,0,28215,439329.370000,2259.370000,23986.320000,47263.366600,129967.000000,35878.000000,34843.000000,15.57077334751018961545277335,1.675114889243310295941874889,0.08007690944533049796207690945
8,rgroup_joint_exp_pack,9,2023-04-01,0,285181,4682016.890000,93361.550000,402165.300000,579214.261100,1381423.000000,301729.000000,270182.000000,16.41770275719630690684161988,2.031040851599510486322721359,0.3273764731872039161094182291
9,rgroup_joint_exp_pack,267,2023-04-10,0,7709,94404.900000,900.180000,4162.800000,5126.559600,35309.000000,8942.000000,8470.000000,12.24606304319626410688805293,0.6650096770009080295758204696,0.1167700090802957582046958101
10,rgroup_joint_blank,47,2023-04-07,1,9381,165957.060000,46.780000,9162.970000,11290.420600,38623.000000,9533.000000,8043.000000,17.69076431084106172049888072,1.203541264257541839889137619,0.004986675194542159684468606758
11,rgroup_joint_exp_pack,30,2023-04-11,0,17429,230347.370000,3895.990000,14318.390000,16154.171100,71705.000000,12779.000000,10983.000000,13.21632738539216248780767686,0.9268558781341442423546961960,0.2235349130759079694761604223
12,rgroup_joint_exp_pack,119,2023-04-09,0,7052,51781.170000,1962.470000,4375.690000,4681.980000,28035.000000,6439.000000,5303.000000,7.342763754963131026659103800,0.6639222915484968803176403857,0.2782855927396483267158252978
14,rgroup_joint_exp_pack,69,2023-04-10,0,4336,10563.920000,76.180000,895.070000,923.706200,18883.000000,3774.000000,1938.000000,2.436328413284132841328413284,0.2130318726937269372693726937,0.01756918819188191881918819188
15,rgroup_joint_exp_pack,317,2023-04-04,0,2630,45843.040000,381.080000,1503.190000,2354.099300,12062.000000,3140.000000,3127.000000,17.43081368821292775665399240,0.8950947908745247148288973384,0.1448973384030418250950570342
18,rgroup_joint_exp_pack,13,2023-04-18,0,245438,4230879.540000,234599.430000,384926.580000,455746.924300,1068893.000000,255250.000000,234834.000000,17.23807861863281154507451984,1.856871895549996333086156178,0.9558398862441838672088266691
19,rgroup_joint_exp_pack,46,2023-04-18,0,77309,1054263.850000,70904.360000,99872.980000,113567.613900,332357.000000,86226.000000,69512.000000,13.63701315500135818598093366,1.469008962733963704096547621,0.9171553118006959086264212446
20,rgroup_joint_exp_pack,335,2023-04-01,0,6145,47080.660000,548.730000,2733.880000,2966.170000,25882.000000,7208.000000,6088.000000,7.661620829943043124491456469,0.4826965012205044751830756713,0.08929698942229454841334418226
22,rgroup_joint_exp_pack,103,2023-04-18,0,10111,83284.660000,1658.840000,6390.780000,6827.773100,42680.000000,9168.000000,6450.000000,8.237034912471565621600237365,0.6752816833152012659479774503,0.1640629017901295618633171793
23,rgroup_joint_exp_pack,303,2023-04-06,0,16802,166362.880000,2650.990000,7712.950000,9255.678000,75890.000000,21791.000000,19236.000000,9.901373645994524461373645995,0.5508676348053803118676348054,0.1577782406856326627782406856
24,rgroup_joint_blank,197,2023-04-03,1,154,146.090000,0.000000,0.000000,0.900000,671.000000,152.000000,46.000000,0.9486363636363636363636363636,0.005844155844155844155844155844,0.000000
25,rgroup_joint_exp_pack,265,2023-04-12,0,6516,51103.180000,592.830000,2637.140000,3055.380000,18471.000000,7163.000000,6493.000000,7.842722529158993247391037446,0.4689042357274401473296500921,0.09098066298342541436464088398
26,rgroup_joint_exp_pack,321,2023-04-03,0,4775,35570.290000,122.340000,1454.990000,1649.800000,21856.000000,5982.000000,5423.000000,7.449275392670157068062827225,0.3455078534031413612565445026,0.02562094240837696335078534031
27,rgroup_joint_exp_pack,212,2023-04-16,0,1178,0.000000,0.000000,0.000000,0.000000,2879.000000,547.000000,129.000000,0.000000,0.000000,0.000000
