city_id	finish_rate
0	0.72
1	0.72
2	0.72
3	0.72
4	0.72
5	0.72
6	0.72
7	0.72
8	0.72
9	0.72
10	0.72
11	0.72
12	0.72
13	0.72
14	0.72
15	0.72
16	0.72
17	0.72
18	0.72
19	0.72
20	0.72
21	0.72
22	0.72
23	0.72
24	0.72
25	0.72
26	0.72
27	0.72
28	0.72
29	0.72
30	0.72
31	0.72
32	0.72
33	0.72
34	0.72
35	0.72
36	0.72
37	0.72
38	0.72
39	0.72
40	0.72
41	0.72
42	0.72
43	0.72
44	0.72
45	0.72
46	0.72
47	0.72
48	0.72
49	0.72
50	0.72
51	0.72
52	0.72
53	0.72
54	0.72
55	0.72
56	0.72
57	0.72
58	0.72
59	0.72
60	0.72
61	0.72
62	0.72
63	0.72
64	0.72
65	0.72
66	0.72
67	0.72
68	0.72
69	0.72
70	0.72
71	0.72
72	0.72
73	0.72
74	0.72
75	0.72
76	0.72
77	0.72
78	0.72
79	0.72
80	0.72
81	0.72
82	0.72
83	0.72
84	0.72
85	0.72
86	0.72
87	0.72
88	0.72
89	0.72
90	0.72
91	0.72
92	0.72
93	0.72
94	0.72
95	0.72
96	0.72
97	0.72
98	0.72
99	0.72
100	0.72
101	0.72
102	0.72
103	0.72
104	0.72
105	0.72
106	0.72
107	0.72
108	0.72
109	0.72
110	0.72
111	0.72
112	0.72
113	0.72
114	0.72
115	0.72
116	0.72
117	0.72
118	0.72
119	0.72
120	0.72
121	0.72
122	0.72
123	0.72
124	0.72
125	0.72
126	0.72
127	0.72
128	0.72
129	0.72
130	0.72
131	0.72
132	0.72
133	0.72
134	0.72
135	0.72
136	0.72
137	0.72
138	0.72
139	0.72
140	0.72
141	0.72
142	0.72
143	0.72
144	0.72
145	0.72
146	0.72
147	0.72
148	0.72
149	0.72
150	0.72
151	0.72
152	0.72
153	0.72
154	0.72
155	0.72
156	0.72
157	0.72
158	0.72
159	0.72
160	0.72
161	0.72
162	0.72
163	0.72
164	0.72
165	0.72
166	0.72
167	0.72
168	0.72
169	0.72
170	0.72
171	0.72
172	0.72
173	0.72
174	0.72
175	0.72
176	0.72
177	0.72
178	0.72
179	0.72
180	0.72
181	0.72
182	0.72
183	0.72
184	0.72
185	0.72
186	0.72
187	0.72
188	0.72
189	0.72
190	0.72
191	0.72
192	0.72
193	0.72
194	0.72
195	0.72
196	0.72
197	0.72
198	0.72
199	0.72
200	0.72
201	0.72
202	0.72
203	0.72
204	0.72
205	0.72
206	0.72
207	0.72
208	0.72
209	0.72
210	0.72
211	0.72
212	0.72
213	0.72
214	0.72
215	0.72
216	0.72
217	0.72
218	0.72
219	0.72
220	0.72
221	0.72
222	0.72
223	0.72
224	0.72
225	0.72
226	0.72
227	0.72
228	0.72
229	0.72
230	0.72
231	0.72
232	0.72
233	0.72
234	0.72
235	0.72
236	0.72
237	0.72
238	0.72
239	0.72
240	0.72
241	0.72
242	0.72
243	0.72
244	0.72
245	0.72
246	0.72
247	0.72
248	0.72
249	0.72
250	0.72
251	0.72
252	0.72
253	0.72
254	0.72
255	0.72
256	0.72
257	0.72
258	0.72
259	0.72
260	0.72
261	0.72
262	0.72
263	0.72
264	0.72
265	0.72
266	0.72
267	0.72
268	0.72
269	0.72
270	0.72
271	0.72
272	0.72
273	0.72
274	0.72
275	0.72
276	0.72
277	0.72
278	0.72
279	0.72
280	0.72
281	0.72
282	0.72
283	0.72
284	0.72
285	0.72
286	0.72
287	0.72
288	0.72
289	0.72
290	0.72
291	0.72
292	0.72
293	0.72
294	0.72
295	0.72
296	0.72
297	0.72
298	0.72
299	0.72
300	0.72
301	0.72
302	0.72
303	0.72
304	0.72
305	0.72
306	0.72
307	0.72
308	0.72
309	0.72
310	0.72
311	0.72
312	0.72
313	0.72
314	0.72
315	0.72
316	0.72
317	0.72
318	0.72
319	0.72
320	0.72
321	0.72
322	0.72
323	0.72
324	0.72
325	0.72
326	0.72
327	0.72
328	0.72
329	0.72
330	0.72
331	0.72
332	0.72
333	0.72
334	0.72
335	0.72
336	0.72
337	0.72
338	0.72
339	0.72
340	0.72
341	0.72
342	0.72
343	0.72
344	0.72
345	0.72
346	0.72
347	0.72
348	0.72
349	0.72
350	0.72
351	0.72
352	0.72
353	0.72
354	0.72
355	0.72
356	0.72
357	0.72
358	0.72
359	0.72
360	0.72
361	0.72
362	0.72
363	0.72
364	0.72
365	0.72
366	0.72
367	0.72
368	0.72
369	0.72
370	0.72
371	0.72
372	0.72
373	0.72
374	0.72
375	0.72
376	0.72
377	0.72
378	0.72
379	0.72
380	0.72
381	0.72
382	0.72
383	0.72
384	0.72
385	0.72
386	0.72
387	0.72
388	0.72
389	0.72
390	0.72
391	0.72
392	0.72
393	0.72
394	0.72
395	0.72
396	0.72
397	0.72
398	0.72
399	0.72
